epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.31285,1.74405,3.3949,1.75128,0.51187,0.60606,0.5589,0.28544,1.24011,2.67115,1.27534,0.00026,0.00026,0.00026
2,11.7153,1.50564,1.77668,1.5565,0.02645,0.87879,0.02564,0.0128,1.98392,153.016,1.97195,0.000529308,0.000529308,0.000529308
3,16.9597,1.6191,1.74991,1.64088,0.0593,0.30948,0.04532,0.01342,2.47925,23.2101,2.57475,0.000787528,0.000787528,0.000787528
4,22.15,1.60807,1.46057,1.587,0.10452,0.51515,0.12847,0.03725,2.39636,75.2652,3.22714,0.00103466,0.00103466,0.00103466
5,27.3913,1.68874,1.56475,1.64014,0.00317,0.63636,0.00268,0.00083,3.4091,inf,12.012,0.0012707,0.0012707,0.0012707
6,32.5561,1.72736,1.44732,1.6691,0.00499,0.36364,0.00317,0.00142,1.96419,182.46,3.71235,0.00149566,0.00149566,0.00149566
7,37.6355,1.83347,1.50042,1.69263,0.00259,0.51515,0.00211,0.00064,3.39976,inf,31.7401,0.00170953,0.00170953,0.00170953
8,42.7638,1.81394,1.50374,1.64534,0.00748,0.63636,0.00572,0.00238,2.44686,inf,14.2112,0.0017228,0.0017228,0.0017228
9,47.8642,1.72224,1.37129,1.65694,0.00328,0.09091,0.00122,0.00045,3.67857,173.875,10.4916,0.0016832,0.0016832,0.0016832
10,52.9757,1.71259,1.33207,1.6682,0.00192,0.36364,0.00126,0.00045,3.34156,107.518,7.0894,0.0016436,0.0016436,0.0016436
11,58.2285,1.72283,1.35024,1.69543,0.00131,0.27273,0.00078,0.00036,2.20307,134.241,3.1521,0.001604,0.001604,0.001604
12,63.296,1.61145,1.27399,1.61228,0.09079,0.18182,0.0354,0.01175,2.17283,5.69428,2.75572,0.0015644,0.0015644,0.0015644
13,68.3568,1.64395,1.28147,1.56773,0.44007,0.72727,0.49087,0.23527,2.01128,7.39278,2.62566,0.0015248,0.0015248,0.0015248
14,73.5084,1.52439,1.16888,1.47991,0.62869,0.66667,0.61367,0.24117,2.67213,1.78519,4.59804,0.0014852,0.0014852,0.0014852
15,78.5172,1.58742,1.1677,1.5005,0.36523,0.36364,0.23431,0.10551,2.12228,3.24243,3.16178,0.0014456,0.0014456,0.0014456
16,83.629,1.58418,1.21331,1.58989,0.91559,0.39394,0.49764,0.30007,2.05667,1.42708,2.81451,0.001406,0.001406,0.001406
17,89.1856,1.49145,1.12543,1.4844,0.76117,0.63636,0.70027,0.3207,2.14762,1.40307,3.25036,0.0013664,0.0013664,0.0013664
18,94.3589,1.46322,1.07225,1.46399,0.77786,0.72727,0.78437,0.32202,2.09493,1.26663,3.09738,0.0013268,0.0013268,0.0013268
19,99.5037,1.41806,1.02133,1.38455,0.80622,0.88263,0.86765,0.32905,2.50903,1.44157,3.14648,0.0012872,0.0012872,0.0012872
20,104.711,1.42548,1.00141,1.40483,0.87082,0.63636,0.78103,0.31561,2.47694,1.65549,2.76491,0.0012476,0.0012476,0.0012476
21,109.635,1.50596,1.10602,1.56039,0.80131,0.73342,0.75996,0.25636,1.8427,1.13936,1.89001,0.001208,0.001208,0.001208
22,114.589,1.34084,0.98124,1.35402,0.66899,0.67383,0.68289,0.24924,2.55738,2.34095,2.66243,0.0011684,0.0011684,0.0011684
23,119.524,1.34227,0.95941,1.41332,0.96424,0.90909,0.96511,0.50488,2.10082,0.99342,3.04491,0.0011288,0.0011288,0.0011288
24,124.682,1.29763,0.88368,1.36506,0.71876,0.77467,0.79862,0.33941,2.05286,1.1358,1.99615,0.0010892,0.0010892,0.0010892
25,129.707,1.36435,0.93507,1.376,0.93313,0.8458,0.94451,0.40913,2.10601,1.74953,2.06813,0.0010496,0.0010496,0.0010496
26,134.687,1.27646,0.89804,1.36545,0.86847,0.93939,0.95317,0.50978,1.52017,0.86268,1.74945,0.00101,0.00101,0.00101
27,139.844,1.29308,0.87464,1.33167,0.93462,0.86668,0.89583,0.51352,1.96298,0.92652,2.55574,0.0009704,0.0009704,0.0009704
28,144.883,1.23344,0.82744,1.32193,0.96919,0.95351,0.9727,0.50914,1.66268,0.77029,2.1813,0.0009308,0.0009308,0.0009308
29,149.999,1.32671,0.87276,1.31371,0.91862,0.93939,0.95599,0.54822,1.1389,0.8902,1.74559,0.0008912,0.0008912,0.0008912
30,155.154,1.217,0.76928,1.26109,0.97546,0.87879,0.97493,0.46728,1.88711,0.83771,2.26044,0.0008516,0.0008516,0.0008516
31,160.076,1.2163,0.79355,1.25941,0.85228,0.87431,0.9419,0.43277,2.04493,1.07973,2.16192,0.000812,0.000812,0.000812
32,165.073,1.14464,0.77664,1.25365,0.97614,0.93939,0.98476,0.57402,1.5478,0.95242,1.96006,0.0007724,0.0007724,0.0007724
33,170.168,1.15283,0.76367,1.25342,0.93035,0.9697,0.98492,0.65249,1.38365,0.76161,1.72454,0.0007328,0.0007328,0.0007328
34,175.712,1.13913,0.73333,1.23225,0.93901,0.93321,0.94436,0.49377,1.70707,0.97079,1.82513,0.0006932,0.0006932,0.0006932
35,181.163,1.07876,0.7648,1.22231,0.96542,0.9697,0.97711,0.42389,2.19965,1.63124,2.03594,0.0006536,0.0006536,0.0006536
36,186.664,1.11922,0.75706,1.28357,0.9409,0.96499,0.9898,0.55038,1.59765,1.06331,1.76184,0.000614,0.000614,0.000614
37,192.525,1.07749,0.71399,1.19269,0.93602,1,0.98965,0.57928,1.86217,0.80759,2.043,0.0005744,0.0005744,0.0005744
38,197.995,1.08939,0.69873,1.21555,0.99413,1,0.995,0.53877,2.2315,0.96155,2.9155,0.0005348,0.0005348,0.0005348
39,203.256,1.1101,0.73171,1.24703,0.96952,0.96395,0.96022,0.50385,2.24711,1.00022,2.93526,0.0004952,0.0004952,0.0004952
40,208.442,1.02345,0.68812,1.15984,0.9586,1,0.99147,0.55069,1.98099,0.75203,2.7068,0.0004556,0.0004556,0.0004556
41,243.457,0.99396,0.64426,1.19389,0.99328,1,0.995,0.51389,1.92003,0.7582,2.66058,0.000416,0.000416,0.000416
42,248.456,1.00796,0.6274,1.23183,0.99425,1,0.995,0.5652,1.89457,0.73378,2.61695,0.0003764,0.0003764,0.0003764
43,253.519,0.96951,0.60496,1.16982,0.99478,1,0.995,0.52418,1.6261,0.90322,1.877,0.0003368,0.0003368,0.0003368
44,258.605,0.93621,0.59294,1.16213,0.99314,1,0.995,0.53271,1.65778,0.81904,1.81953,0.0002972,0.0002972,0.0002972
45,263.529,0.91427,0.57602,1.17316,0.99566,1,0.995,0.5939,1.62073,0.78726,1.80331,0.0002576,0.0002576,0.0002576
46,268.51,0.89476,0.55273,1.14558,0.99032,1,0.995,0.59709,1.67166,0.81674,1.87876,0.000218,0.000218,0.000218
47,273.539,0.8733,0.56075,1.16116,1,0.99392,0.995,0.5817,1.66001,0.78458,1.85546,0.0001784,0.0001784,0.0001784
48,278.533,0.84632,0.54672,1.1028,0.96424,0.9697,0.98601,0.58517,1.58601,0.81125,1.79565,0.0001388,0.0001388,0.0001388
49,283.569,0.90304,0.55587,1.12707,0.96609,0.9697,0.98874,0.57092,1.68386,0.84646,1.85491,9.92e-05,9.92e-05,9.92e-05
50,288.583,0.81671,0.53367,1.10759,0.96533,1,0.99059,0.56547,1.96451,0.76523,2.19079,5.96e-05,5.96e-05,5.96e-05
